TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/fr/retokenized/lestragdiesdeso00tourgoog_0147.xmi
# hipe2022:license = CC-BY
# hipe2022:language = fr
# hipe2022:document_type = commentary
# hipe2022:document_id = lestragdiesdeso00tourgoog_0147
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
casque	O	_	_	_	_	_	_	_	_
est	O	_	_	_	_	_	_	_	_
secoué	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
χλῆρος	O	_	_	_	_	_	_	_	_
tombe	O	_	_	_	_	_	_	_	_
ἃ	O	_	_	_	_	_	_	_	_
terre	O	_	_	_	_	_	_	_	_
:	O	_	_	_	_	_	_	_	_
Ajax	O	_	_	_	_	_	_	_	LED0.00
le	O	_	_	_	_	_	_	_	_
reconnait	O	_	_	_	_	_	_	_	_
aussitôt	O	_	_	_	_	_	_	_	_
pour	O	_	_	_	_	_	_	_	_
le	O	_	_	_	_	_	_	_	_
sien	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
L	O	_	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	_	NoSpaceAfter
allasion	O	_	_	_	_	_	_	_	_
renfermée	O	_	_	_	_	_	_	_	_
dans	O	_	_	_	_	_	_	_	_
les	O	_	_	_	_	_	_	_	_
vers	B-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.62
1286	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.62
-	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.62
1286	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.62
se	O	_	_	_	_	_	_	_	_
rapporte	O	_	_	_	_	_	_	_	_
vraisemblablement	O	_	_	_	_	_	_	_	_
&	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
fait	O	_	_	_	_	_	_	_	_
postérieur	O	_	_	_	_	_	_	_	_
à	O	_	_	_	_	_	_	_	_
l	O	_	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	_	NoSpaceAfter
époque	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
Tencer	O	_	_	_	_	_	_	_	LED0.00
(	O	_	_	_	_	_	_	_	NoSpaceAfter
εἴ	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
699	B-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.33
et	O	_	_	_	_	_	_	_	_
la	O	_	_	_	_	_	_	_	_
note	O	_	_	_	_	_	_	_	NoSpaceAfter
)	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
la	O	_	_	_	_	_	_	_	_
sapercherie	O	_	_	_	_	_	_	_	_
du	O	_	_	_	_	_	_	_	_
Dorien	O	_	_	_	_	_	_	_	NoSpaceAfter
Cresphonte	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
.	O	_	_	_	_	_	_	_	EndOfSentence
Après	O	_	_	_	_	_	_	_	_
la	O	_	_	_	_	_	_	_	_
conquête	O	_	_	_	_	_	_	_	_
du	O	_	_	_	_	_	_	_	_
Péloponnèse	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
par	O	_	_	_	_	_	_	_	_
les	O	_	_	_	_	_	_	_	_
Doriens	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
Téménos	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
,	O	_	_	_	_	_	_	_	_
Cresphonte	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
et	O	_	_	_	_	_	_	_	_
les	O	_	_	_	_	_	_	_	_
deux	O	_	_	_	_	_	_	_	_
fils	O	_	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	_	NoSpaceAfter
Aristodème	O	_	_	_	_	_	_	_	LED0.00
avaient	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
disait	O	_	_	_	_	_	_	_	NoSpaceAfter
-	O	_	_	_	_	_	_	_	NoSpaceAfter
on	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
chargé	O	_	_	_	_	_	_	_	_
le	O	_	_	_	_	_	_	_	_
sort	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
décider	O	_	_	_	_	_	_	_	_
à	O	_	_	_	_	_	_	_	_
qui	O	_	_	_	_	_	_	_	_
appartiendraient	O	_	_	_	_	_	_	_	_
Argos	O	_	_	_	_	_	_	_	LED0.00
d	O	_	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	_	NoSpaceAfter
abord	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
puis	O	_	_	_	_	_	_	_	_
la	O	_	_	_	_	_	_	_	_
Laconie	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
,	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
la	O	_	_	_	_	_	_	_	_
Messénie	O	_	_	_	_	_	_	_	LED0.00
en	O	_	_	_	_	_	_	_	_
dernier	O	_	_	_	_	_	_	_	_
lieu	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Chacun	O	_	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	_	NoSpaceAfter
eux	O	_	_	_	_	_	_	_	_
devait	O	_	_	_	_	_	_	_	_
jeter	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
caillou	O	_	_	_	_	_	_	_	_
marqué	O	_	_	_	_	_	_	_	NoSpaceAfter
dans	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
vase	O	_	_	_	_	_	_	_	_
