entity_surface	gold_transcript	levenshtein_norm	document_id	entity_fine_type	wikidata_id
Lauren- tianus À	Laurentianus A	0.07142857142857142	lestragdiesdeso00tourgoog_0017	object.manuscr	
Laurentianus ÀA	Laurentianus A	0.06666666666666667	lestragdiesdeso00tourgoog_0017	object.manuscr	
Laurentianus À	laurentianus A	0.14285714285714285	lestragdiesdeso00tourgoog_0017	object.manuscr	
So- phocie	Sophocle	0.125	lestragdiesdeso00tourgoog_0055	pers.author	http://www.wikidata.org/entity/Q7235
11.	Il.	0.6666666666666666	lestragdiesdeso00tourgoog_0055	work.primlit	http://www.wikidata.org/entity/Q8275
Hcyne	Heyne	0.2	lestragdiesdeso00tourgoog_0055	pers.author	
excursus l ad librum VII Zliad.,	excursus I ad librum VII Iliad.,	0.0625	lestragdiesdeso00tourgoog_0055	work.seclit	
//.	Il.	0.6666666666666666	lestragdiesdeso00tourgoog_0055	work.primlit	http://www.wikidata.org/entity/Q8275
Heynce	Heyne	0.16666666666666666	lestragdiesdeso00tourgoog_0055	pers.author	http://www.wikidata.org/entity/Q63182
excursns	excursus	0.125	lestragdiesdeso00tourgoog_0055	work.seclit	
ΠΝ	Il.	1.0	lestragdiesdeso00tourgoog_0055	work.primlit	http://www.wikidata.org/entity/Q8275
Α)»κ	Ajax	1.0	lestragdiesdeso00tourgoog_0055	pers.myth	http://www.wikidata.org/entity/Q172725
Métam,	Métam.	0.16666666666666666	lestragdiesdeso00tourgoog_0057	work.primlit	http://www.wikidata.org/entity/Q184742
ΟΕ. (οἷ,	OEd. Col.	0.7777777777777778	lestragdiesdeso00tourgoog_0057	work.primlit	http://www.wikidata.org/entity/Q294001
Ἑυγί- pide	Euripide	0.5	lestragdiesdeso00tourgoog_0057	pers.author	http://www.wikidata.org/entity/Q48305
Cy- γορέάϊε	Cyropédie	0.7777777777777778	lestragdiesdeso00tourgoog_0057	work.primlit	http://www.wikidata.org/entity/Q1145374
1οἴεο Κ	Lobeck	1.0	lestragdiesdeso00tourgoog_0057	pers.editor	http://www.wikidata.org/entity/Q84734
Aurtig.	Anti.	0.42857142857142855	lestragdiesdeso00tourgoog_0057	work.primlit	http://www.wikidata.org/entity/Q241077
Hercale	Hercule	0.14285714285714285	lestragdiesdeso00tourgoog_0059	pers.myth	http://www.wikidata.org/entity/Q122248
Schoeidewin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0059	pers.other	http://www.wikidata.org/entity/Q70043
Antisone	Antigone	0.125	lestragdiesdeso00tourgoog_0059	work.primlit	http://www.wikidata.org/entity/Q241077
Furipide	Euripide	0.125	lestragdiesdeso00tourgoog_0060	pers.author	http://www.wikidata.org/entity/Q48305
fercule ſurieuæ	Hercule furieux	0.2	lestragdiesdeso00tourgoog_0060	work.primlit	http://www.wikidata.org/entity/Q1233835
ſon	Ion	0.3333333333333333	lestragdiesdeso00tourgoog_0060	work.primlit	http://www.wikidata.org/entity/Q614607
(4)αα	Ajax	1.0	lestragdiesdeso00tourgoog_0061	work.primlit	http://www.wikidata.org/entity/Q412341
Ρλιίοοιέέε	Philoctète	1.0	lestragdiesdeso00tourgoog_0061	work.primlit	http://www.wikidata.org/entity/Q1415903
OEdipe Roi	Oedipe Roi	0.1	lestragdiesdeso00tourgoog_0061	work.primlit	http://www.wikidata.org/entity/Q148643
ΟΕ ώ. Roi	OEd. Roi	0.4444444444444444	lestragdiesdeso00tourgoog_0061	work.primlit	http://www.wikidata.org/entity/Q148643
Neuc	Neue	0.25	lestragdiesdeso00tourgoog_0062	pers.author	
OEd, Roi	OEd. Roi	0.125	lestragdiesdeso00tourgoog_0062	work.primlit	http://www.wikidata.org/entity/Q148643
Dubrée	Dobrée	0.16666666666666666	lestragdiesdeso00tourgoog_0062	pers.author	
Οοπέγε 1ερέϊπε	Contre Leptine	0.9285714285714286	lestragdiesdeso00tourgoog_0062	work.primlit	http://www.wikidata.org/entity/Q4691037
Mattbiæ	Matthiae	0.375	lestragdiesdeso00tourgoog_0063	pers.author	http://www.wikidata.org/entity/Q4820726
